dataset,created,modified
http://thedatahub.org/dataset/vivo-indiana-university,2010-09-10T09:12:08.034443,2012-05-29T15:56:36.149502
http://thedatahub.org/dataset/rkb-explorer-southampton,2010-08-23T13:46:45.499299,2012-07-04T21:32:57.178162
http://thedatahub.org/dataset/nottingham-trent-university-resource-lists,2010-09-08T23:17:53.656862,2011-07-21T13:39:17.105884
http://thedatahub.org/dataset/data-cnr-it,2011-07-01T14:52:54.003218,2012-12-18T15:53:20.589783
http://thedatahub.org/dataset/bio2rdf-omim,2010-08-30T10:36:55.842633,2013-03-06T04:10:45.505695
http://thedatahub.org/dataset/rkb-explorer-risks,2010-08-23T13:46:42.346052,2012-07-04T21:33:04.937517
http://thedatahub.org/dataset/bio2rdf-kegg-compound,2010-08-29T22:54:04.297772,2012-09-08T06:48:12.417493
http://thedatahub.org/dataset/oceandrilling-codices,2011-06-30T16:18:56.999760,2011-09-13T11:24:41.441089
http://thedatahub.org/dataset/slideshare2rdf,2010-08-03T11:00:52.352199,2011-09-19T05:48:35.218791
http://thedatahub.org/dataset/sweto-dblp,2009-10-27T19:02:14.412332,2013-03-14T19:54:02.287025
http://thedatahub.org/dataset/rkb-explorer-ecs,2010-08-23T13:24:52.397846,2012-07-02T10:43:08.575883
http://thedatahub.org/dataset/museums-in-italy,2011-02-09T17:05:17.118148,2011-09-22T21:05:36.352766
http://thedatahub.org/dataset/ecs,2010-08-31T11:36:10.840632,2011-08-10T13:35:59.971092
http://thedatahub.org/dataset/morelab,2011-11-16T16:34:51.269442,2012-04-30T07:19:45.120580
http://thedatahub.org/dataset/reference-data-gov-uk,2010-09-06T08:58:57.462279,2011-09-29T16:10:28.141361
http://thedatahub.org/dataset/opencorporates,2011-04-09T21:34:53.296729,2011-10-21T17:31:39.610121
http://thedatahub.org/dataset/productontology,2011-03-25T21:35:41.671258,2011-09-06T15:37:57.632030
http://thedatahub.org/dataset/dewey_decimal_classification,2011-07-19T16:26:33.106452,2011-09-19T08:48:08.845945
http://thedatahub.org/dataset/geospecies,2009-10-27T19:01:49.521747,2011-09-05T11:21:23.302103
http://thedatahub.org/dataset/opencalais,2010-04-26T22:38:07.348939,2011-10-21T16:42:16.168368
http://thedatahub.org/dataset/rkb-explorer-dotac,2010-08-23T13:24:45.319114,2012-07-04T21:05:31.223155
http://thedatahub.org/dataset/esd-standards,2010-09-06T15:38:28.291551,2012-07-04T11:40:43.900189
http://thedatahub.org/dataset/linked-crunchbase,2011-04-17T23:43:34.556721,2011-09-06T15:30:28.283327
http://thedatahub.org/dataset/linkedct,2009-10-27T19:01:59.189894,2012-08-03T21:58:33.428639
http://thedatahub.org/dataset/oceandrilling-janusamp,2011-07-05T18:40:21.834833,2011-09-18T08:58:50.929166
http://thedatahub.org/dataset/rkb-explorer-laas,2010-08-23T13:45:28.140568,2012-07-04T21:31:24.824110
http://thedatahub.org/dataset/b3kat,2011-12-14T20:21:19.669995,2013-01-10T17:09:38.619858
http://thedatahub.org/dataset/calames,2011-07-13T22:10:57.536767,2011-09-13T11:20:30.783765
http://thedatahub.org/dataset/enakting-co2emission,2010-09-11T17:45:44.324051,2011-07-20T21:08:19.929008
http://thedatahub.org/dataset/open-library,2008-10-04T12:22:31,2013-03-20T13:46:47.521490
http://thedatahub.org/dataset/open-election-data-project,2010-03-18T15:08:23.201893,2011-09-07T15:39:22.952699
http://thedatahub.org/dataset/rkb-explorer-curriculum,2010-08-23T13:24:01.379036,2012-07-04T21:29:29.143763
http://thedatahub.org/dataset/rkb-explorer-deepblue,2010-08-23T13:24:23.863793,2012-07-02T10:40:10.789013
http://thedatahub.org/dataset/fu-berlin-sider,2010-08-03T10:57:17.746443,2011-07-23T14:27:38.332194
http://thedatahub.org/dataset/rkb-explorer-acm,2010-08-17T14:02:20.339255,2012-07-04T21:20:53.696114
http://thedatahub.org/dataset/scotland-pupil-numbers-and-exam-results-2008,2011-03-04T10:47:50.596501,2011-09-06T15:37:20.278603
http://thedatahub.org/dataset/rkb-explorer-era,2010-08-23T13:44:54.879317,2012-07-04T21:05:44.655917
http://thedatahub.org/dataset/data-open-ac-uk,2010-09-28T13:41:03.898600,2011-09-04T18:38:31.048699
http://thedatahub.org/dataset/linked-user-feedback,2011-07-13T10:17:57.391461,2011-09-06T15:37:50.575433
http://thedatahub.org/dataset/uniprot-taxonomy,2010-08-30T14:56:30.665984,2012-06-13T10:09:05.899440
http://thedatahub.org/dataset/bio2rdf-cas,2010-08-31T11:44:52.042568,2011-08-10T12:52:05.436954
http://thedatahub.org/dataset/marc-codes,2010-09-08T02:58:35.767514,2012-09-19T17:49:43.012790
http://thedatahub.org/dataset/dbpedia,2007-07-04T17:01:04,2013-01-16T20:13:27.783464
http://thedatahub.org/dataset/dbtropes,2010-09-08T12:33:39.405259,2011-09-04T19:32:25.464970
http://thedatahub.org/dataset/lcsh,2009-01-05T17:57:12.717290,2012-10-26T09:53:54.070814
http://thedatahub.org/dataset/archiveshub-linkeddata,2011-06-23T15:14:33.270150,2012-02-14T12:53:27.945377
http://thedatahub.org/dataset/statistics-data-gov-uk,2010-09-05T14:57:19.843823,2012-07-05T11:02:35.688463
http://thedatahub.org/dataset/los_metar,2010-09-10T07:38:36.501543,2011-09-06T15:36:04.958818
http://thedatahub.org/dataset/thesesfr,2011-07-13T22:24:01.098780,2011-09-13T11:22:26.988461
http://thedatahub.org/dataset/zhishi-me,2011-10-28T19:52:19.148078,2012-09-19T17:50:20.104181
http://thedatahub.org/dataset/opencyc,2009-10-27T19:02:06.792521,2012-08-16T12:03:19.446249
http://thedatahub.org/dataset/datos-bcn-cl,2011-10-25T14:04:07.661247,2011-10-25T16:31:32.979254
http://thedatahub.org/dataset/education-data-gov-uk,2010-09-05T15:09:11.009225,2012-12-18T13:33:29.829234
http://thedatahub.org/dataset/world-bank-linked-data,2012-03-16T02:52:59.384306,2012-10-07T08:47:27.403235
http://thedatahub.org/dataset/taxonconcept,2010-09-02T12:22:17.962026,2012-02-22T03:09:52.609340
http://thedatahub.org/dataset/data-incubator-musicbrainz,2010-08-13T12:53:03.973720,2011-08-15T16:57:27.905942
http://thedatahub.org/dataset/rkb-explorer-budapest,2010-08-18T09:03:00.445884,2012-07-04T21:21:07.583572
http://thedatahub.org/dataset/bio2rdf-homologene,2010-08-29T17:56:24.903734,2012-09-18T03:14:31.139933
