Term,Local Name,Term Type,Count,Query,Query DateTime
http://www.w3.org/ns/prov#Generation,Generation,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Generation%3e%7d&output=csv,2014-02-20T16:22:34+00:00
http://www.w3.org/ns/prov#Usage,Usage,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Usage%3e%7d&output=csv,2014-02-20T16:23:06+00:00
http://www.w3.org/ns/prov#InstantaneousEvent,InstantaneousEvent,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23InstantaneousEvent%3e%7d&output=csv,2014-02-20T16:23:17+00:00
http://www.w3.org/ns/prov#Publish,Publish,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Publish%3e%7d&output=csv,2014-02-20T16:23:27+00:00
http://www.w3.org/ns/prov#EmptyCollection,EmptyCollection,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23EmptyCollection%3e%7d&output=csv,2014-02-20T16:23:38+00:00
http://www.w3.org/ns/prov#PrimarySource,PrimarySource,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23PrimarySource%3e%7d&output=csv,2014-02-20T16:24:53+00:00
http://www.w3.org/ns/prov#Organization,Organization,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Organization%3e%7d&output=csv,2014-02-20T16:25:03+00:00
http://www.w3.org/ns/prov#ServiceDescription,ServiceDescription,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23ServiceDescription%3e%7d&output=csv,2014-02-20T16:25:24+00:00
http://www.w3.org/ns/prov#Attribution,Attribution,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Attribution%3e%7d&output=csv,2014-02-20T16:25:35+00:00
http://www.w3.org/ns/prov#AgentInfluence,AgentInfluence,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23AgentInfluence%3e%7d&output=csv,2014-02-20T16:25:45+00:00
